category,concept,human,llama-3.1-70b,llama-3.1-8b,llama-3.2-3b,mixtral-8x7b,mistral-7b,nemo-12b,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,idefics2-8b,idefics2-8b-img
plants,abete,abete rosso,abete bianco,abete rosso,abete americano,abete bianco,abete bianco,abete bianco,albero,pino,abete rosso,abete rosso
plants,abete,abete bianco,abete amabile,abete di douglas,abete di montagna,abete di douglas,abete nero,abete rosso,acacia,faggio,abete bianco,abete rosso del nord
plants,abete,abete di natale,abete rosso,abete nero,abete canadese,abete rosso,abete rosso del nord,abete di nordmann,palma,cedro,acacia,abete nero
vehicles,aereo,aereo militare,aereo da caccia,aereo da trasporto,aereo da passeggeri,aereo da combattimento,aereo commerciale,aereo a elica,aereoplano,aeroplano,aeroplano,elicottero
vehicles,aereo,aereo di linea,aereo da trasporto,aereo da carico,aereo passeggeri,aereo da turismo,jet,aereo da guerra,aeroplano,aereoplano,elicottero,aeroplano
vehicles,aereo,jet,aereo da addestramento,aereo da turismo,aereo da trasporto,aereo da caccia,aereo da ricognizione,elicottero,elicottero,aereo a vela,aerostato,dirigibile
vehicles,aereo,aereo passeggeri,aereo da turismo,aereo da addestramento,aereo da ricognizione,aereo da trasporto passeggeri,aereo da turismo,aereo da ricognizione,aerostato,coda,dirigibile,aerostato
vehicles,aereo,aereo caccia,aliscafo,elicottero,aereo da pattugliamento,aereo da collegamento,elicottero,aereo da caccia,drone,elica,aerostazione,elica
stationery,agenda,agenda mensile,agenda scolastica,calendario,calendario,agenda giornaliera,calendario digitale,agenda cartacea,calendario,calendario,calendario,calendario
stationery,agenda,agenda settimanale,agenda personale,agenda cartacea,piano,agenda digitale,calendario da tasca,agenda professionale,agenda di lavoro,planner,calendario digitale,diario
stationery,agenda,agenda giornaliera,agenda settimanale,agenda digitale,elenco,agenda settimanale,calendario di appuntamenti,agenda scolastica,agenda giornaliera,quaderno,a4,planner
stationery,agenda,agenda annuale,agenda elettronica,rubrica,orario,agenda elettronica,calendario di eventi,agenda settimanale,agenda di eventi,diario,carta di agenda,agendina
stationery,agenda,agenda tascabile,agenda cartacea,diario,taccuino,agenda mensile,calendario personale,agenda personale,agenda digitale,notepad,diario,notebook
furnishings/fittings,appendiabiti,appendiabiti da parete,gruccia,appendiabiti da parete,armadio,gancio appendiabiti,appendice per,appendiabiti a parete,scarpe,scarpe,jeans,borsa
furnishings/fittings,appendiabiti,appendiabiti da terra,portabiti,appendiabiti da muro,cassettone,portaombrelli,scaffale per abiti,appendiabiti a piantana,calze,manichetta,borsa,camisa
furnishings/fittings,appendiabiti,appendiabiti da muro,attaccapanni,appendiabiti a muro,cassettiera,gancio da parete,tavolo rotativo,appendiabiti portatile,pantaloni,hangar,scarpe,pantaloni
furnishings/fittings,appendiabiti,appendiabiti a rastrelliera,appendiabiti a scomparsa,appendiabiti a parete,cassettiera con specchio,gancio,appesantitore,appendiabiti da viaggio,guanti,maglietta,pantaloni,cappello
furniture,armadio,armadio a muro,armadio a muro,armadio a muro,armadio a muro,armadio a due ante,armadio a due porte,armadio a muro,armadietto,armadio aperto,armadio per vestiti,armadio per vestiti
furniture,armadio,armadio scorrevole,armadio scorrevole,armadio a tre ante,armadio a vetro,armadio con ante scorrevoli,armario per,armadio guardaroba,armadio a due porte,vestiario,armario,scaffale
furniture,armadio,armadio a due ante,armadio a ponte,armadio a due ante,armadio a cassetti,armadio con cassetti,armatore,armadio a cassetti,armario,armadietto,armaio,cassa
furniture,armadio,armadio a battente,armadio a giorno,armadio a soppalco,armadio a porta,armadio a ponte,armadio a ruote,armadio a vista,arredo,armadio chiuso,armati,armadio per cucina
furniture,armadio,armadio in legno,armadio a specchio,armadio a quattro ante,armadio da cucina,armadio a cabina,arredo per bagno,armadio a incasso,armadio a scompartimenti,armadio di legno,armadio per cucina,armadio per biancheria
stationery,astuccio,astuccio rigido,astuccio per occhiali,borsa,cappello,astuccio per matite,tazza,astuccio per matite,fornace,astuccio portatile,astuccio per vino,valigia
stationery,astuccio,portapenne,astuccio per penna,astuccio da disegno,borsa,astuccio per cosmetici,vaso,astuccio da viaggio,radiatore,astuccio da viaggio,,tasca
stationery,astuccio,astuccio per la scuola,astuccio per trucco,portafoglio,guanto,astuccio per occhiali,calice,astuccio per colori,riscaldamento a legna,astuccio con manico,,cassette
stationery,astuccio,portaocchiali,astuccio per matite,valigetta,guanti,astuccio per matite colorate,giuggiole,astuccio per penne,caldaia,astuccio da lavoro,,
stationery,astuccio,astuccio a bustina,astuccio per coltello,cassetto,guanti da sci,astuccio per pastelli,coppa,astuccio per occhiali,riscaldamento elettrico,,,
hobbies,attrezzo,martello,martello,martello,forbici,cacciavite,martello,martello,pala,pennello,chitarra,martello
hobbies,attrezzo,cacciavite,pinza,scalpello,forbice,livella,chiavetta,forbice,palle da tennis,attrezzo da giardino,cuscino,scopa
hobbies,attrezzo,chiave inglese,cacciavite,chiave inglese,forbici da cucito,pinza,pinzette,trapano,pallone da tennis,sci,spada,scala
hobbies,attrezzo,attrezzo da cucina,scalpello,cacciavite,pennello,martello,pettine,metro,pennello,tennis racket,scopa,sciabola
hobbies,attrezzo,trapano,trapano,sega circolare,matita,chiave inglese,compasso,livella,scopa,spazzola,attrezzo da lavoro,gambo
vehicles,autobus,autobus a due piani,autobus urbano,autobus urbano,autobus urbano,autobus urbano,autobus urbano,autobus urbano,autobus urbano,bus,pullman,pullman
vehicles,autobus,autobus di linea,autobus a due piani,autobus a due piani,autobus urbani,autobus a due piani,autobus turistico,autobus urbani,bus,autobus a due piani,midibus,autobus scolastico
vehicles,autobus,scuolabus,autobus a tre assi,pullman,autobus notturno,autobus scolastico,autobus articolato,autobus a due piani,autobus extraurbano,autobus a tre piani,minibus,double decker bus
vehicles,autobus,autobus elettrico,autobus a idrogeno,filobus,autobus extraurbano,autobus articolato,autobus elettrico,autobus interurbani,autobus regionale,minibus,express,trolley bus
vehicles,autobus,pullman,autobus interurbano,autobus turistico,autobus di linea,autobus a idrogeno,autobus ibrido,autobus elettrici,autobus interurbano,pullman,interurbani,tour bus
vehicles,automobile,automobile elettrica,berlina,fiat,auto,berlina,berlina,berline,berlina,berlina,auto,auto
vehicles,automobile,suv,autocarro,berlina,scooter,coupé,sedan,suv,sedan,coupe,automobile a benzina,camion
vehicles,automobile,automobile a benzina,autobus,motocicletta,autobus,cabriolet,fuoristrada,coupé,auto,sports car,autobus,fuoristrada
vehicles,automobile,monovolume,camion,auto da corsa,motociclo,auto,roadster,berlina,autovettura,suv,camion,autobus
vehicles,automobile,automobile ibrida,minivan,furgone,camion,station wagon,camion,camion,coupe,sedan,motociclette,motociclo
housing buildings,bagno,bagno pubblico,bagno turco,vasca,doccia,vasca da bagno,doccia,doccia,doccia,doccia,vaso da bagno,lavandino
housing buildings,bagno,bagno turco,doccia,lavabo,vasca da bagno,portasciugamani,bagno turco,vasca da bagno,piscina,vasca da bagno,bagno da bagno,vasca
housing buildings,bagno,bagno giapponese,vasca da bagno,wc,bidet,armadietto del bagno,vasca idromassaggio,lavandino,vaso,urinal,vasca da bagno,stoviglia
housing buildings,bagno,bagno chimico,vasca,bagno turco,lavabo,lavandino,bidet,specchio,bidet,bidet,stufa calda,vaso
housing buildings,bagno,bagno di lusso,bagno di vapore,bidet,vasca,box doccia,sauna,water,vaso da bagno,piscina,lavandino,scaldino
housing buildings,balcone,balcone a incasso,balcone a sbalzo,balcone da giardino,scale,balcone francese,loggia,balcone panoramico,balcone aperto,veranda,terrazza,terrazza
housing buildings,balcone,terrazzo,a sbalzo,balconcino,balcone esterno,balcone a galleria,terrazzo,balcone aperto,terrazza,balcone esterno,loggia,tettoie
housing buildings,balcone,balcone aggettante,a filo,balcone di legno,terrazza,balcone pensile,veranda,balcone chiuso,balcone esterno,balcone con vetri,balcone di vetro,loggia
housing buildings,balcone,balcone esterno,balcone pensile,balcone esterno,loggia,balcone panoramico,balcone panoramico,balcone a vista,terrazzo,terrazza,balcone frontale,veranda
housing buildings,balcone,balcone coperto,a ringhiera,balcone di ferro,cassettiera,balcone a mensola,balcone di appartamento,balcone in legno,balcone di appartamento,corridoio,veranda,balcone privato
plants,basilico,basilico genovese,genovese,basilico di genova,basilico comune,basilico genovese,basilico comune,basilico genovese,basilico comune,basilico comune,basilico italiano,basilico dolce
plants,basilico,basilico verde,basilico comune,basilico genovese,pettine,basilico limone,basilico messicano,basilico dolce,basilico piccolino,basilico fresco,genovese,oregano
plants,basilico,basilico viola,basilico genovese,basilico di napoli,aglio,basilico greco,basilico sacro,basilico napoletano,basilico nero,pesto,basilico piccante,basilico piccante
plants,basilico,basilico greco,basilico limone,basilico comune,basilico di genova,basilico thai,basilico thai,basilico cinese,basilico genovese,basilico grande,basilico americano,basilico nero
plants,basilico,basilico limone,basilico rosso,basilico napoletano,basilico gigante,basilico a foglia piccola,basilico americano,basilico thai,basilico grande,basilico piccolo,basilico bianco,basilico rosso
kitchenware,bicchiere,bicchiere di vetro,bicchiere da vino,bicchiere da vino,bicchiere da vino,bicchiere di vetro,bicchiere da vino,bicchiere da acqua,bicchiere di vetro,coppa,tazza,bicchiere da birra
kitchenware,bicchiere,bicchiere di plastica,bicchiere da birra,bicchiere da champagne,bicchiere da caffè,bicchiere di plastica,bicchiere da cocktail,bicchiere da birra,bicchiere da vino,tazza,coppa,tazzina
