category,concept,human,idefics2-8b,idefics2-8b-img,idefics2-8b-img_match,idefics2-8b-img_order,idefics2-8b_match,idefics2-8b_order,llama-3.1-70b,llama-3.1-70b_match,llama-3.1-70b_order,llama-3.1-8b,llama-3.1-8b_match,llama-3.1-8b_order,llama-3.2-3b,llama-3.2-3b_match,llama-3.2-3b_order,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,llava-v1.6-mistral-7b-img_match,llava-v1.6-mistral-7b-img_order,llava-v1.6-mistral-7b_match,llava-v1.6-mistral-7b_order,mistral-7b,mistral-7b_match,mistral-7b_order,mixtral-8x7b,mixtral-8x7b_match,mixtral-8x7b_order,nemo-12b,nemo-12b_match,nemo-12b_order
plants,abete,abete rosso,abete rosso,abete rosso,True,True,True,True,abete bianco,False,False,abete rosso,True,True,abete americano,False,False,albero,pino,False,False,False,False,abete bianco,False,False,abete bianco,False,False,abete bianco,False,False
vehicles,aereo,aereo militare,aeroplano,elicottero,False,False,False,False,aereo da caccia,False,False,aereo da trasporto,False,False,aereo da passeggeri,False,False,aereoplano,aeroplano,False,False,False,False,aereo commerciale,False,False,aereo da combattimento,False,False,aereo a elica,False,False
stationery,agenda,agenda mensile,calendario,calendario,False,False,False,False,agenda scolastica,False,False,calendario,False,False,calendario,False,False,calendario,calendario,False,False,False,False,calendario digitale,False,False,agenda giornaliera,False,False,agenda cartacea,False,False
furnishings/fittings,appendiabiti,appendiabiti da parete,jeans,borsa,False,False,False,False,gruccia,False,False,appendiabiti da parete,True,True,armadio,False,False,scarpe,scarpe,False,False,False,False,appendice per,False,False,gancio appendiabiti,False,False,appendiabiti a parete,False,False
furniture,armadio,armadio a muro,armadio per vestiti,armadio per vestiti,False,False,False,False,armadio a muro,True,True,armadio a muro,True,True,armadio a muro,True,True,armadietto,armadio aperto,False,False,False,False,armadio a due porte,False,False,armadio a due ante,False,False,armadio a muro,True,True
stationery,astuccio,astuccio rigido,astuccio per vino,valigia,False,False,False,False,astuccio per occhiali,False,False,borsa,False,False,cappello,False,False,fornace,astuccio portatile,False,False,False,False,tazza,False,False,astuccio per matite,False,False,astuccio per matite,False,False
hobbies,attrezzo,martello,chitarra,martello,True,True,False,False,martello,True,True,martello,True,True,forbici,False,False,pala,pennello,False,False,False,False,martello,True,True,cacciavite,False,False,martello,True,True
vehicles,autobus,autobus a due piani,pullman,pullman,False,False,False,False,autobus urbano,False,False,autobus urbano,False,False,autobus urbano,False,False,autobus urbano,bus,False,False,False,False,autobus urbano,False,False,autobus urbano,False,False,autobus urbano,False,False
vehicles,automobile,automobile elettrica,auto,auto,False,False,False,False,berlina,False,False,fiat,False,False,auto,False,False,berlina,berlina,False,False,False,False,berlina,False,False,berlina,False,False,berline,False,False
housing buildings,bagno,bagno pubblico,vaso da bagno,lavandino,False,False,False,False,bagno turco,False,False,vasca,False,False,doccia,False,False,doccia,doccia,False,False,False,False,doccia,False,False,vasca da bagno,False,False,doccia,False,False
housing buildings,balcone,balcone a incasso,terrazza,terrazza,False,False,False,False,balcone a sbalzo,False,False,balcone da giardino,False,False,scale,False,False,balcone aperto,veranda,False,False,False,False,loggia,False,False,balcone francese,False,False,balcone panoramico,False,False
plants,basilico,basilico genovese,basilico italiano,basilico dolce,False,False,False,False,genovese,False,False,basilico di genova,False,False,basilico comune,False,False,basilico comune,basilico comune,False,False,False,False,basilico comune,False,False,basilico genovese,True,True,basilico genovese,True,True
kitchenware,bicchiere,bicchiere di vetro,tazza,bicchiere da birra,False,False,False,False,bicchiere da vino,False,False,bicchiere da vino,False,False,bicchiere da vino,False,False,bicchiere di vetro,coppa,False,False,True,True,bicchiere da vino,False,False,bicchiere di vetro,True,True,bicchiere da acqua,False,False
vehicles,bicicletta,bicicletta elettrica,mountain bike,bicicletta per bambini,False,False,False,False,mountain bike,False,False,bicicletta da corsa,False,False,mountain bike,False,False,mountain bike,biciclo,False,False,False,False,montagna bicicletta,False,False,city bike,False,False,mountain bike,False,False
body parts,bocca,bocca carnosa,mascella,lingua,False,False,False,False,bocca umana,False,False,labbra,False,False,labbra,False,False,bocca di leone,labbra,False,False,False,False,bocca di un cannone,False,False,bocca umana,False,False,bocca umana,False,False
body parts,braccio,braccio meccanico,braccio umano,braccio destro,False,False,False,False,braccio meccanico,True,True,braccio umano,False,False,braccio umano,False,False,braccio umano,braccio umano,False,False,False,False,braccio umano,False,False,arti superiori,False,False,braccio robotico,False,False
