category,concept,human,idefics2-8b,idefics2-8b-img,idefics2-8b-img_match,idefics2-8b-img_order,idefics2-8b_match,idefics2-8b_order,llama-3.1-70b,llama-3.1-70b_match,llama-3.1-70b_order,llama-3.1-8b,llama-3.1-8b_match,llama-3.1-8b_order,llama-3.2-3b,llama-3.2-3b_match,llama-3.2-3b_order,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,llava-v1.6-mistral-7b-img_match,llava-v1.6-mistral-7b-img_order,llava-v1.6-mistral-7b_match,llava-v1.6-mistral-7b_order,mistral-7b,mistral-7b_match,mistral-7b_order,mixtral-8x7b,mixtral-8x7b_match,mixtral-8x7b_order,nemo-12b,nemo-12b_match,nemo-12b_order
plants,abete,abete rosso,abete rosso,abete rosso,True,True,True,True,abete bianco,True,False,abete rosso,True,True,abete americano,False,False,albero,pino,False,False,False,False,abete bianco,True,False,abete bianco,True,False,abete bianco,True,False
plants,abete,abete bianco,abete bianco,abete rosso del nord,False,False,True,True,abete amabile,False,False,abete di douglas,False,False,abete di faggio,False,False,acacia,faggio,False,False,False,False,abete rosso di norvegia,False,False,abete di douglas,False,False,abete rosso,True,False
plants,abete,abete di natale,acacia,abete nero,False,False,False,False,abete rosso,True,False,abete nero,False,False,abete di montagna,False,False,palma,pine tree,False,False,False,False,abete nero,False,False,abete rosso,True,False,abete di nordmann,False,False
vehicles,aereo,aereo militare,aeroplano,elicottero,False,False,False,False,aereo da caccia,False,False,aereo da trasporto,False,False,aereo da passeggeri,False,False,aereoplano,aeroplano,False,False,False,False,aereo commerciale,False,False,aereo da combattimento,False,False,aereo a elica,False,False
vehicles,aereo,aereo di linea,elicottero,aeroplano,False,False,False,False,aereo da trasporto,False,False,aereo da carico,False,False,aereo passeggeri,True,False,aeroplano,aereoplano,False,False,False,False,jet,True,False,aereo da turismo,False,False,aereo da guerra,False,False
vehicles,aereo,jet,aerostato,dirigibile,False,False,False,False,aereo da addestramento,False,False,aereo da turismo,False,False,aereo da trasporto,False,False,elicottero,aereo a scoppio,False,False,False,False,aereo da ricognizione,False,False,aereo da caccia,False,False,elicottero,False,False
vehicles,aereo,aereo passeggeri,dirigibile,aerostato,False,False,False,False,aereo da turismo,False,False,aereo da addestramento,False,False,aereo da ricognizione,False,False,aerostato,aereo a vela,False,False,False,False,aereo da turismo,False,False,aereo da trasporto passeggeri,False,False,aereo da ricognizione,False,False
vehicles,aereo,aereo caccia,aerostazione,elica,False,False,False,False,aliscafo,False,False,elicottero,False,False,aereo da pattugliamento,False,False,drone,coda,False,False,False,False,elicottero,False,False,aereo da collegamento,False,False,aereo da caccia,False,False
stationery,agenda,agenda mensile,calendario,calendario,False,False,False,False,agenda scolastica,False,False,calendario,False,False,calendario,False,False,calendario,calendario,False,False,False,False,calendario digitale,False,False,agenda giornaliera,True,False,agenda cartacea,False,False
stationery,agenda,agenda settimanale,calendario digitale,diario,False,False,False,False,agenda personale,False,False,agenda cartacea,False,False,piano,False,False,agenda di lavoro,planner,False,False,False,False,calendario da tasca,False,False,agenda digitale,False,False,agenda professionale,False,False
stationery,agenda,agenda giornaliera,a4,planner,False,False,False,False,agenda settimanale,True,False,agenda digitale,False,False,elenco,False,False,agenda pendolari,quaderno,False,False,False,False,calendario di appuntamenti,False,False,agenda settimanale,True,False,agenda scolastica,False,False
stationery,agenda,agenda annuale,carta di agenda,agendina,False,False,False,False,agenda elettronica,False,False,rubrica,False,False,orario,False,False,agenda giornaliera,diario,False,False,True,False,calendario di eventi,False,False,agenda elettronica,False,False,agenda settimanale,True,False
stationery,agenda,agenda tascabile,diario,notebook,False,False,False,False,agenda cartacea,False,False,diario,False,False,taccuino,False,False,agenda di eventi,notepad,False,False,False,False,calendario personale,False,False,agenda mensile,True,False,agenda personale,False,False
furnishings/fittings,appendiabiti,appendiabiti da parete,jeans,borsa,False,False,False,False,gruccia,False,False,appendiabiti da parete,True,True,armadio,False,False,scarpe,scarpe,False,False,False,False,appendice per cintura,False,False,gancio appendiabiti,False,False,appendiabiti a parete,False,False
furnishings/fittings,appendiabiti,appendiabiti da terra,borsa,camisa,False,False,False,False,portabiti,False,False,appendiabiti da muro,True,False,cassettone,False,False,calze,manichetta,False,False,False,False,cassetta per cinture,False,False,portaombrelli,False,False,appendiabiti a piantana,False,False
furnishings/fittings,appendiabiti,appendiabiti da muro,scarpe,pantaloni,False,False,False,False,attaccapanni,False,False,appendiabiti a muro,False,False,cassettiera,False,False,pantaloni,hangar,False,False,False,False,vestitario,False,False,gancio da parete,False,False,appendiabiti portatile,False,False
furnishings/fittings,appendiabiti,appendiabiti a rastrelliera,pantaloni,hanger,False,False,False,False,appendiabiti a scomparsa,False,False,appendiabiti a stendibiancheria,False,False,cassettone a muro,False,False,guanti,maglietta,False,False,False,False,vestiti a fusione,False,False,gancio,False,False,appendiabiti da viaggio,False,False
furniture,armadio,armadio a muro,armadio per vestiti,armadio per vestiti,False,False,False,False,armadio a muro,True,True,armadio a muro,True,True,armadio a muro,True,True,armadietto,armadio aperto,False,False,False,False,armadio a porta rovescia,False,False,armadio a due ante,True,False,armadio a muro,True,True
furniture,armadio,armadio scorrevole,armario,scaffale,False,False,False,False,armadio scorrevole,True,True,armadio a tre ante,False,False,armadio a vetro,False,False,armadio a due porte,armadietro,False,False,False,False,armadio a due porte,False,False,armadio con ante scorrevoli,False,False,armadio guardaroba,False,False
furniture,armadio,armadio a due ante,armaio,cassa,False,False,False,False,armadio a ponte,False,False,armadio a due ante,True,True,armadio da letto,False,False,armario,vestiario,False,False,False,False,armadio a portelle,False,False,armadio con cassetti,False,False,armadio a cassetti,False,False
furniture,armadio,armadio a battente,armati,porta-vestiti,False,False,False,False,armadio a giorno,False,False,armadio a soppalco,False,False,armadio a cassetti,False,False,arredo,armadietto,False,False,False,False,armario per vestiti,False,False,armadio a ponte,False,False,armadio a vista,False,False
furniture,armadio,armadio in legno,armadio per cucina,armario per abbigliamento,False,False,False,False,armadio a specchio,False,False,armadio a quattro ante,False,False,armadio a porta,False,False,armadio a scompartimenti,armadio chiuso,False,False,False,False,arredo a scaffale,False,False,armadio a cabina,False,False,armadio a incasso,False,False
stationery,astuccio,astuccio rigido,astuccio per caffè,valigia,False,False,False,False,astuccio per occhiali,False,False,borsa,False,False,cappello,False,False,fornace,suitcase,False,False,False,False,tazza,False,False,astuccio per matite,False,False,astuccio per matite,False,False
stationery,astuccio,portapenne,astuccio a scoppio,big bag,False,False,False,False,astuccio per penna,False,False,astuccio da disegno,False,False,borsa,False,False,radiatore,astuccio a mano,False,False,False,False,vaso,False,False,astuccio per cosmetici,False,False,astuccio da viaggio,False,False
stationery,astuccio,astuccio per la scuola,astuccio marmitta,valigia per viaggio,False,False,False,False,astuccio per pistola,False,False,portafoglio,False,False,guanto,False,False,riscaldamento a legna,astuccio portatile,False,False,False,False,calice,False,False,astuccio per occhiali,False,False,astuccio per pennarelli,False,False
stationery,astuccio,portaocchiali,astuccio da cucina,valigia gomma,False,False,False,False,astuccio per trucco,False,False,astuccio di camicie,False,False,guanti,False,False,caldaia,astuccio in generale,False,False,False,False,giuggiole,False,False,astuccio per matite colorate,False,False,astuccio per penne a sfera,False,False
stationery,astuccio,astuccio a bustina,astuccio a scopa,valigia a mano,False,False,False,False,astuccio per matite,False,False,astuccio da scarpe,False,False,guanti da sci,False,False,riscaldamento elettrico,astuccio da viaggio,False,False,False,False,coppa,False,False,astuccio per pastelli,False,False,astuccio per strumenti musicali,False,False
hobbies,attrezzo,martello,chitarra,martello,True,True,False,False,martello,True,True,martello,True,True,forbici,False,False,pala,pince,False,False,False,False,martello,True,True,cacciavite,True,False,martello,True,True
hobbies,attrezzo,cacciavite,cuscino,scopa,False,False,False,False,pinza,False,False,scalpello,False,False,forbice,False,False,palle da tennis,pennello,False,False,False,False,chiavetta,False,False,livella,False,False,forbice,False,False
hobbies,attrezzo,chiave inglese,spada,scala,False,False,False,False,cacciavite,True,False,chiave inglese,True,True,forbici da cucito,False,False,pallone da tennis,martellaccio,False,False,False,False,pinzette,False,False,pinza,False,False,trapano,True,False
hobbies,attrezzo,attrezzo da cucina,scopa,sciabola,False,False,False,False,scalpello,False,False,cacciavite,True,False,pennello,False,False,pennello,attrezzo da giardino,False,False,False,False,pettine,False,False,martello,True,False,metro,False,False
hobbies,attrezzo,trapano,attrezzo da lavoro,gambo,False,False,False,False,trapano,True,True,sega circolare,False,False,matita,False,False,scopa,sci,False,False,False,False,compasso,False,False,chiave inglese,True,False,livella,False,False
vehicles,autobus,autobus a due piani,pullman,pullman,True,False,True,False,autobus urbano,False,False,autobus urbano,False,False,autobus urbano,False,False,autobus urbano,bus,False,False,False,False,autobus urbano,False,False,autobus urbano,False,False,autobus urbano,False,False
vehicles,autobus,autobus di linea,paghezzato,autobus scolastico,False,False,False,False,autobus a due piani,True,False,autobus a due piani,True,False,autobus urbani,False,False,bus,autobus a due piani,True,False,False,False,autobus turistico,False,False,autobus a due piani,True,False,autobus urbani,False,False
vehicles,autobus,scuolabus,midibus,pullman-süd,False,False,False,False,autobus a tre assi,False,False,pullman,True,False,autobus notturno,False,False,autobus extraurbano,autobus a tre piani,False,False,False,False,autobus articolato,False,False,autobus scolastico,False,False,autobus a due piani,True,False
vehicles,autobus,autobus elettrico,minibus,pullman-ost,False,False,False,False,autobus a idrogeno,False,False,filobus,False,False,autobus extraurbano,False,False,autobus regionale,minibus,False,False,False,False,autobus elettrico,True,True,autobus articolato,False,False,autobus interurbani,False,False
vehicles,autobus,pullman,pullman-brill,pullman-west,False,True,False,True,autobus interurbano,False,False,autobus turistico,False,False,autobus di linea,True,False,autobus interurbano,pullman,True,True,False,False,autobus ibrido,False,False,autobus a idrogeno,False,False,autobus elettrici,False,False
vehicles,automobile,automobile elettrica,auto,auto,False,False,False,False,berlina,False,False,fiat,False,False,auto,False,False,berlina,berlina,False,False,False,False,berlina,False,False,berlina,False,False,berline,False,False
vehicles,automobile,suv,automobile a benzina,camion,False,False,True,False,autocarro,False,False,berlina,False,False,scooter,False,False,sedan,coupe,False,False,False,False,sedan,False,False,coupé,False,False,suv,True,True
