concept,category,classif,abs_diff_avail,llama3.1,llama3.2,mistral,llava,idefics2,nemo,llama3.1-70b,mixtral
abete,plants,few_exemplars,0.067029160128766,0,0,0,0,0,0,0,1
aereo,vehicles,many_exemplars,0.29157818068674657,1,1,1,1,1,0,0,1
agenda,stationery,medium_exemplars,0.3561161287340376,1,1,0,1,1,1,1,0
appendiabiti,furnishings/fittings,few_exemplars,0.3286668068522154,0,0,0,0,1,0,0,1
armadio,furniture,medium_exemplars,0.1769989980969917,1,1,0,0,1,1,1,0
astuccio,stationery,medium_exemplars,0.09737872131042032,1,0,1,1,1,0,1,0
attrezzo,hobbies,many_exemplars,0.4054327198097846,0,0,0,0,0,0,0,0
autobus,vehicles,many_exemplars,0.3358831075368215,0,0,1,1,1,1,1,1
automobile,vehicles,many_exemplars,0.2259650644349546,1,1,1,1,1,1,1,1
bagno,housing buildings,medium_exemplars,0.22684677832796277,1,1,1,1,1,0,1,0
balcone,housing buildings,medium_exemplars,0.26963567217354417,0,0,0,0,0,0,0,1
basilico,plants,few_exemplars,0.1949062034415014,1,1,1,1,1,1,1,1
bicchiere,kitchenware,many_exemplars,0.31937272362236113,1,1,1,1,1,1,1,1
bicicletta,vehicles,medium_exemplars,0.3408037270486005,1,1,1,1,1,1,1,1
bocca,body parts,medium_exemplars,0.2585216180585251,0,0,0,0,0,0,0,1
braccio,body parts,medium_exemplars,0.25823370283305447,1,1,1,1,0,1,1,1
cactus,plants,few_exemplars,0.2286273102225467,0,0,0,0,0,0,1,0
calza,clothes,many_exemplars,0.26254310518769813,0,1,1,0,0,0,1,1
camera,housing buildings,many_exemplars,0.6760855002736684,0,0,0,0,0,0,0,0
camicia,clothes,many_exemplars,0.1790223784738896,0,0,1,1,1,1,1,1
camion,vehicles,medium_exemplars,0.1075243008151322,0,0,0,0,0,0,1,0
candelabro,furnishings/fittings,few_exemplars,0.169867639501986,1,1,1,1,0,1,1,0
cane,animals,many_exemplars,0.3230733118043892,0,0,0,1,1,0,0,1
canottiera,clothes,many_exemplars,0.14312860187615,0,1,1,1,1,0,0,0
capello,body parts,many_exemplars,0.3942007322075656,0,1,0,0,0,1,1,0
cappello,clothes,many_exemplars,0.2574862808629221,1,1,1,1,1,1,1,1
cappotto,clothes,medium_exemplars,0.1432044232700183,1,1,1,1,1,1,1,1
carne,foods,many_exemplars,0.35544626001905144,0,0,0,0,1,1,0,0
carrozza,vehicles,few_exemplars,0.15302921556433752,1,0,0,0,0,0,0,1
carte,hobbies,medium_exemplars,0.3582014382838798,1,1,1,1,1,1,1,1
cassettiera,furniture,few_exemplars,0.1371306934256401,1,1,1,1,1,1,1,1
cavallo,animals,many_exemplars,0.19337226744609248,1,1,1,1,1,1,1,1
cd,hobbies,few_exemplars,0.2977174056661091,0,0,0,0,0,0,0,0
centrotavola,furnishings/fittings,few_exemplars,0.5794372058399085,1,1,1,1,1,1,1,1
cereale,foods,medium_exemplars,0.36050072573184727,1,0,1,1,1,1,1,0
cervello,body parts,few_exemplars,0.3306286018761499,1,1,1,1,1,0,1,1
chitarra,hobbies,medium_exemplars,0.6105618177110812,1,1,1,1,1,1,1,1
