concept,category,classif,llama3.1,llama3.2,mistral,llava,idefics2,nemo,llama3.1-70b,mixtral
abete,plants,few_exemplars,0,0,0,0,0,0,0,1
aereo,vehicles,many_exemplars,1,1,1,1,1,0,0,1
agenda,stationery,medium_exemplars,1,1,0,1,1,1,1,0
appendiabiti,furnishings/fittings,few_exemplars,0,0,0,0,1,0,0,1
armadio,furniture,medium_exemplars,1,1,0,0,1,1,1,0
astuccio,stationery,medium_exemplars,1,0,1,1,1,0,1,0
attrezzo,hobbies,many_exemplars,0,0,0,0,0,0,0,0
autobus,vehicles,many_exemplars,0,0,1,1,1,1,1,1
automobile,vehicles,many_exemplars,1,1,1,1,1,1,1,1
bagno,housing buildings,medium_exemplars,1,1,1,1,1,0,1,0
balcone,housing buildings,medium_exemplars,0,0,0,0,0,0,0,1
basilico,plants,few_exemplars,1,1,1,1,1,1,1,1
bicchiere,kitchenware,many_exemplars,1,1,1,1,1,1,1,1
bicicletta,vehicles,medium_exemplars,1,1,1,1,1,1,1,1
bocca,body parts,medium_exemplars,0,0,0,0,0,0,0,1
braccio,body parts,medium_exemplars,1,1,1,1,0,1,1,1
cactus,plants,few_exemplars,0,0,0,0,0,0,1,0
calza,clothes,many_exemplars,0,1,1,0,0,0,1,1
camera,housing buildings,many_exemplars,0,0,0,0,0,0,0,0
camicia,clothes,many_exemplars,0,0,1,1,1,1,1,1
camion,vehicles,medium_exemplars,0,0,0,0,0,0,1,0
candelabro,furnishings/fittings,few_exemplars,1,1,1,1,0,1,1,0
cane,animals,many_exemplars,0,0,0,1,1,0,0,1
canottiera,clothes,many_exemplars,0,1,1,1,1,0,0,0
capello,body parts,many_exemplars,0,1,0,0,0,1,1,0
cappello,clothes,many_exemplars,1,1,1,1,1,1,1,1
cappotto,clothes,medium_exemplars,1,1,1,1,1,1,1,1
carne,foods,many_exemplars,0,0,0,0,1,1,0,0
carrozza,vehicles,few_exemplars,1,0,0,0,0,0,0,1
carte,hobbies,medium_exemplars,1,1,1,1,1,1,1,1
cassettiera,furniture,few_exemplars,1,1,1,1,1,1,1,1
cavallo,animals,many_exemplars,1,1,1,1,1,1,1,1
cd,hobbies,few_exemplars,0,0,0,0,0,0,0,0
centrotavola,furnishings/fittings,few_exemplars,1,1,1,1,1,1,1,1
cereale,foods,medium_exemplars,1,0,1,1,1,1,1,0
cervello,body parts,few_exemplars,1,1,1,1,1,0,1,1
chitarra,hobbies,medium_exemplars,1,1,1,1,1,1,1,1
ciclamino,plants,medium_exemplars,1,1,1,1,1,1,1,0
ciliegio,plants,few_exemplars,0,0,1,1,1,0,1,0
cioccolato,foods,many_exemplars,1,1,1,1,0,0,1,1
colla,stationery,medium_exemplars,1,1,0,0,0,0,1,1
collo,body parts,medium_exemplars,1,0,1,1,1,1,0,0
colonna,housing buildings,medium_exemplars,1,1,1,1,1,1,1,1
coltello,kitchenware,many_exemplars,0,0,1,0,0,0,1,1
comodino,furniture,medium_exemplars,0,1,0,1,0,1,0,0
computer,hobbies,few_exemplars,1,1,0,0,0,1,1,1
comò,furniture,few_exemplars,0,0,1,0,1,0,1,1
coniglio,animals,medium_exemplars,1,0,0,0,0,1,1,1
cornice,furnishings/fittings,medium_exemplars,1,1,1,1,1,1,1,1
credenza,furniture,few_exemplars,0,1,0,0,0,1,1,0
cruciverba,hobbies,medium_exemplars,0,0,0,0,0,0,0,0
cucchiaio,kitchenware,many_exemplars,0,0,0,0,0,0,0,0
cucina,housing buildings,many_exemplars,1,1,1,1,1,1,1,0
cuore,body parts,medium_exemplars,0,0,0,0,0,0,0,1
cuscino,furnishings/fittings,many_exemplars,0,0,0,0,0,1,0,1
delfino,animals,few_exemplars,0,0,0,0,1,0,0,0
divano,furniture,many_exemplars,0,0,0,0,0,0,1,1
edera,plants,few_exemplars,0,1,1,1,0,1,1,1
elefante,animals,few_exemplars,0,1,0,0,0,0,0,0
elicottero,vehicles,few_exemplars,0,1,1,1,1,0,0,1
evidenziatore,stationery,many_exemplars,1,1,0,0,0,1,1,1
felpa,clothes,medium_exemplars,0,1,1,1,1,1,1,1
ficus,plants,few_exemplars,1,1,1,1,1,1,1,1
finestra,housing buildings,many_exemplars,0,0,0,0,0,0,0,0
fioriera,furnishings/fittings,medium_exemplars,1,1,1,0,1,1,1,1
foglio,stationery,many_exemplars,1,1,1,1,1,1,1,0
forbice,kitchenware,many_exemplars,1,0,1,1,1,1,1,1
forchetta,kitchenware,medium_exemplars,0,0,1,0,0,1,0,0
formaggio,foods,many_exemplars,0,0,0,0,0,0,0,0
fotografia,furnishings/fittings,many_exemplars,1,1,1,1,1,1,1,1
frutta,foods,many_exemplars,1,1,1,1,1,1,1,1
furgone,vehicles,few_exemplars,1,1,1,1,1,1,1,1
gallo,animals,few_exemplars,1,0,1,1,1,1,0,1
gamba,body parts,medium_exemplars,1,1,1,1,0,0,1,1
gatto,animals,many_exemplars,1,1,0,0,1,1,1,1
geranio,plants,medium_exemplars,0,0,0,1,1,0,0,0
giacca,clothes,many_exemplars,0,0,0,0,0,0,0,0
