,category,concept_eng,concept,n_concept,n_concept_list,list,exemplar,count,avg_rank_order,dominance,min_rank,max_rank,first_occur,availability_montefinese,availability,outliers,classif,n_exemplars,llama3.1-70b,mixtral
17,ANIMALS,dog,CANE,23,13,6,CANE_labrador,19,4.578947368421052,0.59375,1,13,0.15625,0.4065693589775465,0.3531646871011183,False,many_exemplars,31,6.048707008361816,9.286330223083496
24,ANIMALS,dog,CANE,23,13,6,CANE_pastore tedesco,16,5.3125,0.5,1,16,0.0625,0.3088988789084606,0.3088988789084606,False,many_exemplars,31,5.993533611297607,8.55105972290039
2,ANIMALS,dog,CANE,23,13,6,CANE_bassotto,15,6.266666666666667,0.46875,1,15,0.125,0.2474929836798518,0.2474929836798518,False,many_exemplars,31,5.850237846374512,9.844358444213867
7,ANIMALS,dog,CANE,23,13,6,CANE_chihuahua,19,8.210526315789474,0.59375,2,16,0.0,0.2692859961839361,0.2363875892009653,False,many_exemplars,31,5.70353889465332,8.349626541137695
14,ANIMALS,dog,CANE,23,13,6,CANE_golden retriever,15,6.666666666666667,0.46875,1,14,0.03125,0.2204943469336876,0.2108117962460217,False,many_exemplars,31,5.740789413452148,7.938997745513916
4,ANIMALS,dog,CANE,23,13,6,CANE_bulldog,11,7.909090909090909,0.34375,1,22,0.03125,0.1275920648865639,0.1908237205948926,False,many_exemplars,31,5.634566307067871,8.476848602294922
13,ANIMALS,dog,CANE,23,13,6,CANE_dobermann,11,5.090909090909091,0.34375,1,11,0.125,0.1887100252460539,0.1887100252460539,False,many_exemplars,31,6.035816192626953,10.261391639709473
15,ANIMALS,dog,CANE,23,13,6,CANE_husky,13,7.384615384615385,0.40625,1,15,0.03125,0.1655104635749545,0.1818559492072669,False,many_exemplars,31,5.89987850189209,9.217639923095703
5,ANIMALS,dog,CANE,23,13,6,CANE_carlino,9,7.444444444444445,0.28125,1,19,0.03125,0.1107659788588244,0.1574892816750565,False,many_exemplars,31,6.440392971038818,11.373135566711426
1,ANIMALS,dog,CANE,23,13,6,CANE_barboncino,11,6.909090909090909,0.34375,2,14,0.0,0.1220493357629337,0.1482289105257132,False,many_exemplars,31,6.035145282745361,8.754749298095703
26,ANIMALS,dog,CANE,23,13,6,CANE_pitbull,12,7.916666666666667,0.375,3,15,0.0,0.1110412039645276,0.1395016600919989,False,many_exemplars,31,5.868597030639648,7.855253219604492
23,ANIMALS,dog,CANE,23,13,6,CANE_pastore maremmano,8,7.375,0.25,2,17,0.0,0.06321814464739477,0.1196119762136552,False,many_exemplars,31,5.894087314605713,8.744489669799805
27,ANIMALS,dog,CANE,23,13,6,CANE_rottweiler,7,9.142857142857142,0.21875,1,21,0.03125,0.04562697723990274,0.1047357192545323,False,many_exemplars,31,5.740148067474365,9.274003028869629
9,ANIMALS,dog,CANE,23,13,6,CANE_da caccia,5,6.2,0.15625,2,19,0.0,0.05451758558482569,0.1021338826681019,False,many_exemplars,31,6.032550811767578,9.903717994689941
25,ANIMALS,dog,CANE,23,13,6,CANE_pinscher,7,9.428571428571429,0.21875,2,22,0.0,0.03147876226202411,0.1012213961829058,False,many_exemplars,31,5.934587478637695,9.110648155212402
22,ANIMALS,dog,CANE,23,13,6,CANE_meticcio,6,6.166666666666667,0.1875,1,12,0.03125,0.05095641446494557,0.08279061676204963,False,many_exemplars,31,6.316607475280762,10.43205451965332
3,ANIMALS,dog,CANE,23,13,6,CANE_beagle,6,8.833333333333334,0.1875,1,17,0.03125,0.03883356538664694,0.07929633479464304,False,many_exemplars,31,5.94009256362915,9.169477462768555
12,ANIMALS,dog,CANE,23,13,6,CANE_di taglia piccola,5,8.6,0.15625,2,19,0.0,0.02873906409094277,0.07916896662028212,False,many_exemplars,31,6.340385437011719,10.356804847717285
0,ANIMALS,dog,CANE,23,13,6,CANE_alano,7,10.42857142857143,0.21875,6,20,0.0,0.0137962554489417,0.07913555511863316,False,many_exemplars,31,6.297008991241455,10.751408576965332
29,ANIMALS,dog,CANE,23,13,6,CANE_volpino,4,7.0,0.125,2,18,0.0,0.02271726375653061,0.07245973333982007,False,many_exemplars,31,6.012759685516357,10.174948692321777
28,ANIMALS,dog,CANE,23,13,6,CANE_san bernardo,6,10.66666666666667,0.1875,5,20,0.0,0.008246550576476276,0.06693476440562747,False,many_exemplars,31,5.943715572357178,9.787130355834961
8,ANIMALS,dog,CANE,23,13,6,CANE_corgi,5,8.4,0.15625,2,16,0.0,0.01945454141526241,0.06224241194232895,False,many_exemplars,31,5.851617813110352,8.161812782287598
6,ANIMALS,dog,CANE,23,13,6,CANE_cavalier king,4,10.5,0.125,3,20,0.0,0.01348877402224186,0.05727860423185495,False,many_exemplars,31,5.989068031311035,9.830551147460938
30,ANIMALS,dog,CANE,23,13,6,CANE_yorkshire,4,6.0,0.125,2,11,0.0,0.02142224845430031,0.05393636580650651,False,many_exemplars,31,6.226180553436279,9.881632804870605
20,ANIMALS,dog,CANE,23,13,6,CANE_maremmano,4,7.0,0.125,2,13,0.0,0.01612205877973399,0.05161904697892644,False,many_exemplars,31,6.018013000488281,9.0745267868042
11,ANIMALS,dog,CANE,23,13,6,CANE_di taglia grande,4,6.75,0.125,3,13,0.0,0.008879051366950108,0.05093547197355856,False,many_exemplars,31,6.571045875549316,11.04279613494873
10,ANIMALS,dog,CANE,23,13,6,CANE_dalmata,5,8.6,0.15625,5,14,0.0,0.006941593067595922,0.04831602555086855,False,many_exemplars,31,5.934183120727539,9.598730087280273
16,ANIMALS,dog,CANE,23,13,6,CANE_jack russell,5,12.8,0.15625,6,21,0.0,0.002045150859789518,0.04728124733145821,False,many_exemplars,31,6.065101623535156,9.715964317321777
21,ANIMALS,dog,CANE,23,13,6,CANE_mastino,4,9.5,0.125,3,17,0.0,0.007073118780666704,0.04718817899941904,False,many_exemplars,31,5.993556022644043,10.53664779663086
19,ANIMALS,dog,CANE,23,13,6,CANE_maltese,5,9.2,0.15625,5,15,0.0,0.004792805842911769,0.04693203005545292,False,many_exemplars,31,5.902310371398926,9.044960021972656
18,ANIMALS,dog,CANE,23,13,6,CANE_levriero,5,10.8,0.15625,7,14,0.0,0.001341958940834697,0.0300913752967291,False,many_exemplars,31,5.864696025848389,9.482131958007812
43,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_riccio,19,2.631578947368421,0.59375,1,9,0.25,0.4974950348259664,0.4257682323024839,False,many_exemplars,18,5.799935817718506,11.08193588256836
38,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_liscio,20,3.3,0.625,1,10,0.125,0.4938877183261233,0.4080896219521995,False,many_exemplars,18,5.975722312927246,10.90517807006836
33,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_biondo,15,4.333333333333333,0.46875,1,11,0.09375,0.2909318349600177,0.2489123896434411,False,many_exemplars,18,5.860161781311035,9.866097450256348
41,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_mosso,10,4.7,0.3125,2,12,0.0,0.1513032678652041,0.1687594344314456,False,many_exemplars,18,6.279933452606201,10.046510696411133
44,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_rosso,13,5.307692307692308,0.40625,3,10,0.0,0.1918649280008593,0.1536121870002291,False,many_exemplars,18,6.1352105140686035,11.586442947387695
35,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_castano,11,6.272727272727272,0.34375,2,13,0.0,0.1234186883718579,0.1430983315541602,False,many_exemplars,18,6.326298236846924,9.941742897033691
36,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_corto,6,5.0,0.1875,1,13,0.0625,0.08746375329785816,0.1133127875817133,False,many_exemplars,18,6.078371047973633,10.698284149169922
39,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_lungo,6,5.5,0.1875,1,14,0.03125,0.06411581774174376,0.1042667549243379,False,many_exemplars,18,6.029323577880859,10.588546752929688
37,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_grasso,6,4.0,0.1875,1,8,0.0625,0.08974238722541211,0.1002207360689225,False,many_exemplars,18,6.113430500030518,11.393291473388672
46,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_sottile,7,6.0,0.21875,2,11,0.0,0.06335311355045839,0.09199809419118764,False,many_exemplars,18,5.964284896850586,10.306004524230957
45,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_secco,6,6.0,0.1875,2,13,0.0,0.04849919068069201,0.08903923237859794,False,many_exemplars,18,6.195904731750488,10.117347717285156
31,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_berretto,5,2.4,0.15625,1,4,0.0625,0.08785770595409391,0.07912153157875573,False,many_exemplars,18,5.771717071533203,10.295127868652344
47,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_spesso,6,5.5,0.1875,1,10,0.03125,0.0532225112051929,0.07870698375180059,False,many_exemplars,18,6.261885643005371,11.562325477600098
42,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_nero,8,5.875,0.25,2,8,0.0,0.0664137135985325,0.0664137135985325,False,many_exemplars,18,6.0557637214660645,10.226673126220703
34,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_bombetta,4,3.25,0.125,1,5,0.03125,0.04258281491699616,0.04984589577733611,False,many_exemplars,18,6.42195463180542,11.219873428344727
40,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_moro,5,5.4,0.15625,2,8,0.0,0.02646572251921917,0.047689603245287,False,many_exemplars,18,6.212338924407959,10.58273696899414
