concept,n_concept,n_concept_list,category,concept_eng,list,exemplar,count,avg_rank_order,dominance,min_rank,max_rank,first_occur,availability_montefinese,availability,outliers,exemplar_string,classif,llama3.1,llama3.2,mistral,llava,idefics2,nemo,mixtral,llama3.1-70b
abete,1,9,PLANTS,fir,5,ABETE_rosso,12,1.583333333333333,0.375,1,4,0.25,0.3379666186026394,0.2889122489951036,False,abete rosso,few_exemplars,6.293806076049805,6.499944686889648,9.117925643920898,7.457559585571289,6.110631942749023,8.255759239196777,9.1867036819458,6.022695541381836
abete,1,9,PLANTS,fir,5,ABETE_bianco,13,1.615384615384615,0.40625,1,3,0.1875,0.3635961801879308,0.2500024831249101,False,abete bianco,few_exemplars,6.3510847091674805,6.526332855224609,8.278006553649902,6.795831680297852,5.408782482147217,7.499361991882324,9.279133796691896,6.031558990478516
abete,1,9,PLANTS,fir,5,ABETE_di natale,8,1.125,0.25,1,2,0.21875,0.2412484844150604,0.2218830888663376,False,abete di natale,few_exemplars,5.996546745300293,6.305887699127197,8.53544807434082,7.209579467773437,5.542165279388428,7.107351779937744,9.21782112121582,5.744042873382568
aereo,2,6,VEHICLES,plane,5,AEREO_militare,16,3.0625,0.5,2,10,0.0,0.3797150534911186,0.3258502705181184,False,aereo militare,many_exemplars,6.291811466217041,6.509966373443604,7.798943519592285,6.340489864349365,4.777138233184815,8.43577766418457,7.852745532989502,6.0932817459106445
aereo,2,6,VEHICLES,plane,5,AEREO_di linea,15,2.333333333333333,0.46875,1,6,0.25,0.390150540833599,0.3201479520217848,False,aereo di linea,many_exemplars,6.40375566482544,6.703787803649902,7.759989261627197,6.32877254486084,5.129197120666504,7.904377460479736,9.03392219543457,5.930580139160156
aereo,2,6,VEHICLES,plane,5,AEREO_jet,13,3.615384615384616,0.40625,1,7,0.0625,0.2602298672169999,0.1843494165409455,False,jet,many_exemplars,6.499630928039551,6.501967906951904,8.86068058013916,7.092159748077393,5.330122947692871,8.844545364379883,9.156230926513672,6.243107795715332
aereo,2,6,VEHICLES,plane,5,AEREO_passeggeri,4,1.0,0.125,1,1,0.125,0.125,0.125,False,aereo passeggeri,many_exemplars,6.124221324920654,6.383247375488281,7.46985387802124,5.76226806640625,4.709417819976807,7.633302688598633,8.10958480834961,5.781418323516846
aereo,2,6,VEHICLES,plane,5,AEREO_caccia,6,3.5,0.1875,1,7,0.0625,0.0952004003327852,0.1014243045840213,False,aereo caccia,many_exemplars,6.101409912109375,6.289333343505859,7.932599544525146,6.295833110809326,4.75205659866333,8.382458686828613,8.919718742370605,5.799008846282959
aereo,2,6,VEHICLES,plane,5,AEREO_aeroplano,4,2.25,0.125,1,5,0.0625,0.0784729740807279,0.0832176160165549,False,aereo aeroplano,many_exemplars,6.174351215362549,6.293760776519775,7.77777099609375,6.198936939239502,4.789451599121094,7.876818180084228,8.172072410583496,5.9583940505981445
aereo,2,6,VEHICLES,plane,5,AEREO_boeing,5,3.0,0.15625,1,6,0.03125,0.0703873295959012,0.0790181428562112,False,boeing,many_exemplars,6.293275833129883,6.410750389099121,8.280855178833008,6.794270515441895,5.089773654937744,8.22354793548584,8.501235008239746,5.938374996185303
aereo,2,6,VEHICLES,plane,5,AEREO_cargo,7,4.857142857142857,0.21875,1,8,0.03125,0.0681097961799603,0.077276765798445,False,aereo cargo,many_exemplars,6.558874607086182,6.697878837585449,8.270949363708496,6.6233811378479,4.991626739501953,8.95847225189209,8.442498207092285,6.328036308288574
aereo,2,6,VEHICLES,plane,5,AEREO_privato,7,2.714285714285714,0.21875,1,4,0.03125,0.1205143286567671,0.0758774436774523,False,aereo privato,many_exemplars,6.182965755462647,6.519027233123779,7.913819313049316,6.407736301422119,4.914571762084961,8.275986671447754,7.746205806732178,5.925509929656982
aereo,2,6,VEHICLES,plane,5,AEREO_commerciale,4,1.75,0.125,1,3,0.0625,0.0837616907424875,0.075527987909433,False,aereo commerciale,many_exemplars,6.393965721130371,6.530190467834473,8.19740104675293,6.792912483215332,5.219540596008301,6.986182689666748,10.360637664794922,5.996731758117676
aereo,2,6,VEHICLES,plane,5,AEREO_elicottero,4,1.75,0.125,1,2,0.03125,0.0748024081588354,0.0406492665990128,False,elicottero,many_exemplars,6.014411926269531,6.224615097045898,7.533377647399902,6.368637561798096,4.474015712738037,6.918185710906982,8.179508209228516,5.555236339569092
aereo,2,6,VEHICLES,plane,5,AEREO_aliante,5,3.2,0.15625,2,4,0.0,0.0485101409722143,0.0342720898313718,False,aereo aliante,many_exemplars,6.3587846755981445,6.549379825592041,8.365968704223633,6.581717014312744,4.961761474609375,8.423208236694336,8.847054481506348,5.951832294464111
agenda,3,3,STATIONERY,diary,3,AGENDA_mensile,20,2.2,0.625,1,6,0.15625,0.5451463878399051,0.3992002143346159,False,agenda mensile,medium_exemplars,6.501401424407959,6.672345161437988,9.6571683883667,7.971994876861572,5.768866539001465,8.595303535461426,11.339105606079102,6.299955368041992
agenda,3,3,STATIONERY,diary,3,AGENDA_settimanale,20,2.25,0.625,1,5,0.1875,0.5421544425217923,0.364440190826047,False,agenda settimanale,medium_exemplars,6.082332134246826,6.2779860496521,8.28386116027832,7.123481273651123,5.217252254486084,7.757433891296387,9.13800811767578,5.849175453186035
agenda,3,3,STATIONERY,diary,3,AGENDA_giornaliera,18,2.722222222222222,0.5625,1,7,0.15625,0.4540834814070763,0.3332891758366887,False,agenda giornaliera,medium_exemplars,6.146402835845947,6.472575664520264,8.029364585876465,7.199498176574707,5.05147123336792,7.801620006561279,9.571678161621094,5.922119140625
agenda,3,3,STATIONERY,diary,3,AGENDA_annuale,9,2.666666666666667,0.28125,1,5,0.09375,0.1886373147046337,0.145393229838552,False,agenda annuale,medium_exemplars,6.212790966033936,6.593164920806885,9.150177001953123,8.335596084594727,6.208347320556641,8.703755378723145,10.197574615478516,6.086622714996338
agenda,3,3,STATIONERY,diary,3,AGENDA_tascabile,4,2.5,0.125,1,5,0.0625,0.0706997260506585,0.075527987909433,False,agenda tascabile,medium_exemplars,6.402351379394531,6.556655406951904,8.992530822753906,7.58611536026001,5.537609577178955,7.806755542755127,9.876163482666016,6.043833255767822
agenda,3,3,STATIONERY,diary,3,AGENDA_digitale,4,3.5,0.125,1,6,0.03125,0.0478991419157121,0.0590737473542703,False,agenda digitale,medium_exemplars,6.368068695068359,6.533108711242676,8.395623207092285,6.916956424713135,5.183427810668945,7.799322128295898,9.75606918334961,6.210318088531494
agenda,3,3,STATIONERY,diary,3,AGENDA_diario,4,3.5,0.125,1,6,0.03125,0.0418034780575308,0.054698638683346,False,diario,medium_exemplars,6.451173305511475,6.624205112457275,10.304403305053713,8.458345413208008,6.224714279174805,9.462411880493164,10.383127212524414,6.354167938232422
